fighter,opp_fighter,title_bout,weight_class,stance,opp_stance,male,diff_reach_cms,diff_height_cms,diff_weight_lbs,diff_age,diff_wins,diff_losses,diff_avg_sig_str_landed,diff_avg_sig_str_pct,diff_avg_sub_att,diff_avg_td_landed,diff_avg_td_pct,winner
Seth Baczynski,Matt Brown,False,Welterweight,Orthodox,Orthodox,1,-2.539999999999992,7.6200000000000045,0,0,-4,-3,4.1666666700000015,-0.15555555599999998,0.44444444399999994,-0.777777778,-0.416666667,1
Danny Castillo,Shamar Bailey,False,Lightweight,Orthodox,Southpaw,1,-10.159999999999997,0.0,0,3,0,0,4.5,0.315,0.0,0.5,0.07499999999999996,1
Shamar Bailey,Danny Castillo,False,Lightweight,Southpaw,Orthodox,1,10.159999999999997,0.0,0,-3,0,0,-4.5,-0.315,0.0,-0.5,-0.07499999999999996,0
Cain Velasquez,Junior Dos Santos,True,Heavyweight,Orthodox,Orthodox,1,0.0,-7.6200000000000045,2,2,0,0,-6.857142849999995,0.10142857100000002,0.285714286,1.714285714,0.278571429,0
Junior Dos Santos,Cain Velasquez,True,Heavyweight,Orthodox,Orthodox,1,0.0,7.6200000000000045,-2,-2,0,0,6.857142849999995,-0.10142857100000002,-0.285714286,-1.714285714,-0.278571429,1
Clay Guida,Benson Henderson,False,Lightweight,Orthodox,Southpaw,1,0.0,-5.079999999999984,-15,2,7,5,-32.28571429,-0.10428571400000003,-0.35714285700000004,-1.7142857139999998,-0.439285714,0
Benson Henderson,Clay Guida,False,Lightweight,Southpaw,Orthodox,1,0.0,5.079999999999984,15,-2,-7,-5,32.28571429,0.10428571400000003,0.35714285700000004,1.7142857139999998,0.439285714,1
Dustin Poirier,Pablo Garza,False,Featherweight,Southpaw,Orthodox,1,-2.539999999999992,-10.159999999999997,10,-6,0,0,62.5,0.040000000000000036,-0.5,2.5,0.275,1
Pablo Garza,Dustin Poirier,False,Featherweight,Orthodox,Southpaw,1,2.539999999999992,10.159999999999997,-10,6,0,0,-62.5,-0.040000000000000036,0.5,-2.5,-0.275,0
Cub Swanson,Ricardo Lamas,False,Featherweight,Orthodox,Orthodox,1,-2.539999999999992,0.0,0,-1,-1,0,-16.0,-0.5,0.0,-1.0,-0.33,0
Ricardo Lamas,Cub Swanson,False,Featherweight,Orthodox,Orthodox,1,2.539999999999992,0.0,0,1,1,0,16.0,0.5,0.0,1.0,0.33,1
DaMarques Johnson,Clay Harvison,False,Welterweight,Orthodox,Orthodox,1,2.539999999999992,0.0,0,-2,2,2,-18.666666669999998,-0.065,-0.666666667,0.0,-0.25,1
Clay Harvison,DaMarques Johnson,False,Welterweight,Orthodox,Orthodox,1,-2.539999999999992,0.0,0,2,-2,-2,18.666666669999998,0.065,0.666666667,0.0,0.25,0
Norifumi Yamamoto,Darren Uyenoyama,False,Bantamweight,Southpaw,Orthodox,1,5.079999999999984,-5.079999999999984,10,2,0,1,16.0,0.24,0.0,0.0,0.0,0
Darren Uyenoyama,Norifumi Yamamoto,False,Bantamweight,Orthodox,Southpaw,1,-5.079999999999984,5.079999999999984,-10,-2,0,-1,-16.0,-0.24,0.0,0.0,0.0,1
Alex Caceres,Cole Escovedo,False,Bantamweight,Southpaw,Orthodox,1,2.539999999999992,7.6200000000000045,10,-7,0,0,-21.5,-0.09999999999999998,0.0,0.0,0.0,1
